data_column_name,sample,batch,group
Pool_1.mzML,P1,1,Pool
Pool_2.mzML,P2,1,Pool
Pool_3.mzML,P3,1,Pool
Sample_01_0325.mzML,S325,1,normal
Sample_02_0147.mzML,S147,1,normal
Sample_03_4085.mzML,S4085,1,normal
Sample_04_0039.mzML,S39,1,normal
Sample_05_5198.mzML,S5198,1,normal
Sample_06_7066.mzML,S7066,1,normal
Sample_07_0909.mzML,S909,1,normal
Sample_08_0348.mzML,S348,1,cancer
Sample_09_7028.mzML,S7028,1,cancer
Sample_10_2119.mzML,S2119,1,cancer
Sample_11_6501.mzML,S6501,1,cancer
Sample_12_9999.mzML,S9999,1,cancer
Sample_13_1014.mzML,S1014,1,cancer
Sample_14_1059.mzML,S1059,1,cancer
